Designator,Mid X,Mid Y,Rotation,Layer
BZ1,183.691802,-101.708198,45.0,top
J1,199.535,-88.695,0.0,bottom
J2,187.85,-87.31,270.0,top
Q1,195.8,-97.76,180.0,top
R1,195.79,-86.14,180.0,top
R2,195.88,-92.92,180.0,top
R3,195.88,-94.905,180.0,top
R4,195.86,-100.52,0.0,top
U1,195.29,-89.04,270.0,top
